Player,Tm,Salary,Cap Hit
Aaron Dell,SJ,675000,625000
Gustav Olofsson,MIN,675000,725000
Scott Mayfield,NYI,675000,625000
Oskar Sundqvist,STL,675000,675000
Blake Coleman,NJ,660000,660000
Stefan Noesen,NJ,660000,660000
Scott Wilson,BUF,660000,625000
Daniel Winnik,MIN,660000,660000
Tom Kuhnhackl,PIT,660000,625000
Bryan Rust,PIT,660000,640000
Alex Chiasson,WSH,660000,660000
Gemel Smith,DAL,650000,650000
Darcy Kuemper,ARI,650000,650000
Erik Burgdoerfer,OTT,650000,650000
Brendan Leipsic,VAN,650000,650000
Alex Stalock,MIN,650000,650000
Tomas Nosek,VGS,650000,612500
Christian Djoos,WSH,650000,650000
Derek Grant,ANA,650000,650000
Jim O'Brien,OTT,650000,650000
Matt Irwin,NSH,650000,650000
Ben Harpur,OTT,650000,653333
Darren Archibald,VAN,650000,650000
Maxime Lagace,VGS,650000,650000
Ryan Carpenter,VGS,650000,650000
Miikka Salomaki,NSH,650000,612500
Max McCormick,OTT,650000,650000
Pontus Aberg,EDM,650000,650000
Ivan Barbashev,STL,650000,741667
Yannick Weber,NSH,650000,650000
Chad Ruhwedel,PIT,650000,650000
Christopher Gibson,NYI,650000,650000
Travis Boyd,WSH,650000,650000
Alan Quine,NYI,650000,612500
Joseph Morrow,WPG,650000,650000
Jordan Oesterle,CHI,650000,650000
Malcolm Subban,VGS,650000,650000
Nate Prosser,MIN,650000,650000
Colton Sissons,NSH,650000,625000
Carter Rowney,PIT,650000,612500
Martin Frk,DET,650000,650000
Jack Campbell,LA,650000,612500
Jujhar Khaira,EDM,650000,675000
Mike McKenna,DAL,650000,650000
Matt Bartkowski,CGY,650000,612500
Markus Hannikainen,CBJ,650000,675000
Andrew Campbell,ARI,650000,650000
Chandler Stephenson,WSH,650000,650000
Chris Wagner,NYI,650000,637500
Erik Gustafsson,CHI,650000,650000
Byron Froese,MTL,650000,650000
Marek Hrivik,CGY,650000,650000
Evan Rodrigues,BUF,650000,650000
Tyler Bertuzzi,DET,650000,661667
Steven Kampfer,NYR,650000,650000
Cory Conacher,TB,650000,650000
Josh Leivo,TOR,650000,612500
Brett Kulak,CGY,650000,650000
Devante Smith-Pelly,WSH,650000,650000
Tanner Fritz,NYI,650000,650000
Tim Heed,SJ,650000,650000
Charles Hudon,MTL,650000,650000
Brad Hunt,VGS,650000,650000
Tanner Glass,CGY,650000,650000
Seth Griffith,BUF,650000,650000
Freddie Hamilton,ARI,650000,612500
Kevin Gravel,LA,650000,650000
Scott Harrington,CBJ,650000,675000
Joakim Ryan,SJ,650000,650000
Paul Carey,NYR,650000,650000
Justin Falk,BUF,650000,650000
Logan Shaw,MTL,650000,650000
Tristan Jarry,PIT,650000,630833
Jared Coreau,DET,650000,612500
Garnet Hathaway,CGY,650000,650000
Kyle Criscuolo,BUF,650000,650000
Mark Alt,COL,650000,650000
Fredrik Claesson,OTT,650000,650000
Nic Dowd,VAN,650000,640000
Josh Archibald,ARI,650000,675000
Derek Forbort,LA,650000,650000
Barclay Goodrow,SJ,650000,650000
Brian Gibbons,NJ,650000,650000
Peter Holland,NYR,650000,675000
Casey Nelson,BUF,650000,650000
Anthony Bitetto,NSH,650000,61250
